Date,Product,Category,Region,Units_Sold,Revenue,Profit
2025-03-03,Dell Inspiron 15,Laptop,West,6,390000,70200
2025-03-03,HP LaserJet MFP,Printer,East,1,18000,3240
2025-03-03,Samsung Galaxy S24,Mobile,North,11,792000,142560
2025-03-03,Sony WH-1000XM5,Headphones,North,3,75000,13500
2025-03-03,Apple Watch SE,Smartwatch,East,4,120000,21600
2025-03-04,Dell Inspiron 15,Laptop,South,6,390000,70200
2025-03-04,HP LaserJet MFP,Printer,North,11,198000,35640
2025-03-04,Samsung Galaxy S24,Mobile,West,7,504000,90720
2025-03-04,Sony WH-1000XM5,Headphones,West,9,225000,40500
2025-03-04,Apple Watch SE,Smartwatch,West,13,390000,70200
2025-03-05,Dell Inspiron 15,Laptop,South,6,390000,70200
2025-03-05,HP LaserJet MFP,Printer,East,14,252000,45360
2025-03-05,Samsung Galaxy S24,Mobile,West,11,792000,142560
2025-03-05,Sony WH-1000XM5,Headphones,West,4,100000,18000
2025-03-05,Apple Watch SE,Smartwatch,South,11,330000,59400
2025-03-06,Dell Inspiron 15,Laptop,East,12,780000,140400
2025-03-06,HP LaserJet MFP,Printer,South,15,270000,48600
2025-03-06,Samsung Galaxy S24,Mobile,West,8,576000,103680
2025-03-06,Sony WH-1000XM5,Headphones,West,3,75000,13500
2025-03-06,Apple Watch SE,Smartwatch,East,1,30000,5400
2025-03-07,Dell Inspiron 15,Laptop,East,4,260000,46800
2025-03-07,HP LaserJet MFP,Printer,North,6,108000,19440
2025-03-07,Samsung Galaxy S24,Mobile,East,6,432000,77760
2025-03-07,Sony WH-1000XM5,Headphones,South,4,100000,18000
2025-03-07,Apple Watch SE,Smartwatch,West,7,210000,37800
2025-03-08,Dell Inspiron 15,Laptop,East,5,325000,58500
2025-03-08,HP LaserJet MFP,Printer,North,15,270000,48600
2025-03-08,Samsung Galaxy S24,Mobile,West,4,288000,51840
2025-03-08,Sony WH-1000XM5,Headphones,West,7,175000,31500
2025-03-08,Apple Watch SE,Smartwatch,East,3,90000,16200
2025-03-09,Dell Inspiron 15,Laptop,South,12,780000,140400
2025-03-09,HP LaserJet MFP,Printer,North,7,126000,22680
2025-03-09,Samsung Galaxy S24,Mobile,East,4,288000,51840
2025-03-09,Sony WH-1000XM5,Headphones,North,13,325000,58500
2025-03-09,Apple Watch SE,Smartwatch,West,12,360000,64800
2025-03-10,Dell Inspiron 15,Laptop,East,8,520000,93600
2025-03-10,HP LaserJet MFP,Printer,North,1,18000,3240
2025-03-10,Samsung Galaxy S24,Mobile,North,6,432000,77760
2025-03-10,Sony WH-1000XM5,Headphones,South,3,75000,13500
2025-03-10,Apple Watch SE,Smartwatch,West,1,30000,5400
2025-03-11,Dell Inspiron 15,Laptop,North,15,975000,175500
2025-03-11,HP LaserJet MFP,Printer,North,3,54000,9720
2025-03-11,Samsung Galaxy S24,Mobile,West,13,936000,168480
2025-03-11,Sony WH-1000XM5,Headphones,West,12,300000,54000
2025-03-11,Apple Watch SE,Smartwatch,North,10,300000,54000
2025-03-12,Dell Inspiron 15,Laptop,North,11,715000,128700
2025-03-12,HP LaserJet MFP,Printer,East,2,36000,6480
2025-03-12,Samsung Galaxy S24,Mobile,West,2,144000,25920
2025-03-12,Sony WH-1000XM5,Headphones,North,1,25000,4500
2025-03-12,Apple Watch SE,Smartwatch,North,9,270000,48600
2025-03-13,Dell Inspiron 15,Laptop,West,2,130000,23400
2025-03-13,HP LaserJet MFP,Printer,North,5,90000,16200
2025-03-13,Samsung Galaxy S24,Mobile,West,15,1080000,194400
2025-03-13,Sony WH-1000XM5,Headphones,West,1,25000,4500
2025-03-13,Apple Watch SE,Smartwatch,South,9,270000,48600
2025-03-14,Dell Inspiron 15,Laptop,East,9,585000,105300
2025-03-14,HP LaserJet MFP,Printer,West,14,252000,45360
2025-03-14,Samsung Galaxy S24,Mobile,East,6,432000,77760
2025-03-14,Sony WH-1000XM5,Headphones,East,12,300000,54000
2025-03-14,Apple Watch SE,Smartwatch,West,11,330000,59400
2025-03-15,Dell Inspiron 15,Laptop,West,4,260000,46800
2025-03-15,HP LaserJet MFP,Printer,West,14,252000,45360
2025-03-15,Samsung Galaxy S24,Mobile,East,8,576000,103680
2025-03-15,Sony WH-1000XM5,Headphones,East,5,125000,22500
2025-03-15,Apple Watch SE,Smartwatch,East,12,360000,64800
2025-03-16,Dell Inspiron 15,Laptop,South,3,195000,35100
2025-03-16,HP LaserJet MFP,Printer,North,1,18000,3240
2025-03-16,Samsung Galaxy S24,Mobile,South,10,720000,129600
2025-03-16,Sony WH-1000XM5,Headphones,South,15,375000,67500
2025-03-16,Apple Watch SE,Smartwatch,South,12,360000,64800
2025-03-17,Dell Inspiron 15,Laptop,North,14,910000,163800
2025-03-17,HP LaserJet MFP,Printer,West,11,198000,35640
2025-03-17,Samsung Galaxy S24,Mobile,East,9,648000,116640
2025-03-17,Sony WH-1000XM5,Headphones,South,6,150000,27000
2025-03-17,Apple Watch SE,Smartwatch,South,7,210000,37800
2025-03-18,Dell Inspiron 15,Laptop,East,8,520000,93600
2025-03-18,HP LaserJet MFP,Printer,East,6,108000,19440
2025-03-18,Samsung Galaxy S24,Mobile,East,7,504000,90720
2025-03-18,Sony WH-1000XM5,Headphones,West,3,75000,13500
2025-03-18,Apple Watch SE,Smartwatch,West,9,270000,48600
2025-03-19,Dell Inspiron 15,Laptop,South,6,390000,70200
2025-03-19,HP LaserJet MFP,Printer,East,7,126000,22680
2025-03-19,Samsung Galaxy S24,Mobile,South,4,288000,51840
2025-03-19,Sony WH-1000XM5,Headphones,North,6,150000,27000
2025-03-19,Apple Watch SE,Smartwatch,East,10,300000,54000
2025-03-20,Dell Inspiron 15,Laptop,West,4,260000,46800
2025-03-20,HP LaserJet MFP,Printer,East,8,144000,25920
2025-03-20,Samsung Galaxy S24,Mobile,North,4,288000,51840
2025-03-20,Sony WH-1000XM5,Headphones,West,11,275000,49500
2025-03-20,Apple Watch SE,Smartwatch,West,14,420000,75600
2025-03-21,Dell Inspiron 15,Laptop,East,12,780000,140400
2025-03-21,HP LaserJet MFP,Printer,East,9,162000,29160
2025-03-21,Samsung Galaxy S24,Mobile,West,3,216000,38880
2025-03-21,Sony WH-1000XM5,Headphones,South,6,150000,27000
2025-03-21,Apple Watch SE,Smartwatch,South,1,30000,5400
2025-03-22,Dell Inspiron 15,Laptop,West,2,130000,23400
2025-03-22,HP LaserJet MFP,Printer,South,8,144000,25920
2025-03-22,Samsung Galaxy S24,Mobile,North,15,1080000,194400
2025-03-22,Sony WH-1000XM5,Headphones,East,7,175000,31500
2025-03-22,Apple Watch SE,Smartwatch,East,10,300000,54000
2025-03-23,Dell Inspiron 15,Laptop,East,15,975000,175500
2025-03-23,HP LaserJet MFP,Printer,North,6,108000,19440
2025-03-23,Samsung Galaxy S24,Mobile,West,7,504000,90720
2025-03-23,Sony WH-1000XM5,Headphones,East,5,125000,22500
2025-03-23,Apple Watch SE,Smartwatch,East,6,180000,32400
2025-03-24,Dell Inspiron 15,Laptop,East,15,975000,175500
2025-03-24,HP LaserJet MFP,Printer,West,11,198000,35640
2025-03-24,Samsung Galaxy S24,Mobile,North,10,720000,129600
2025-03-24,Sony WH-1000XM5,Headphones,West,3,75000,13500
2025-03-24,Apple Watch SE,Smartwatch,East,11,330000,59400
2025-03-25,Dell Inspiron 15,Laptop,West,1,65000,11700
2025-03-25,HP LaserJet MFP,Printer,North,2,36000,6480
2025-03-25,Samsung Galaxy S24,Mobile,West,15,1080000,194400
2025-03-25,Sony WH-1000XM5,Headphones,West,3,75000,13500
